issn_id,collection,subject_area
0718-4565,,Ciências Sociais Aplicadas
0718-4727,,Ciências Humanas
0718-4808,,Ciências Sociais Aplicadas
0718-4816,,Ciências da Saúde
0718-4867,,Ciências Sociais Aplicadas
0718-4883,,"Linguística, Letras e Artes"
0718-5006,,Engenharias
0718-5049,,Ciências Sociais Aplicadas
0718-5065,,Ciências Humanas
0718-5065,,Ciências Sociais Aplicadas
0718-5073,,Engenharias
0718-5162,,Ciências Sociais Aplicadas
0718-5200,,Ciências Sociais Aplicadas
0718-5286,,Ciências Sociais Aplicadas
0718-560X,,Ciências Biológicas
0718-560X,,Ciências Exatas e da Terra
0718-5693,,Ciências Sociais Aplicadas
0718-5839,,Ciências Agrárias
0718-591X,,Ciências Sociais Aplicadas
0718-6568,,Ciências Sociais Aplicadas
0718-669X,,Ciências Humanas
0718-6851,,Ciências Sociais Aplicadas
0718-686X,,Ciências Biológicas
0718-6894,,Ciências Humanas
0718-6924,,Ciências Sociais Aplicadas
0718-7106,,Ciências Exatas e da Terra
0718-7181,,Ciências Humanas
0718-7378,,Ciências Sociais Aplicadas
0718-8072,,Ciências Sociais Aplicadas
0718-8358,,Ciências Sociais Aplicadas
0718-8471,,Ciências Humanas
0718-8560,,Ciências da Saúde
0718-8870,,Ciências Sociais Aplicadas
0718-8994,,Ciências Biológicas
0718-915X,,Engenharias
0718-9273,,Ciências Humanas
0718-9303,,Ciências Humanas
0718-9516,,Ciências Agrárias
0718-9729,,Ciências Sociais Aplicadas
0718-9753,,Ciências Sociais Aplicadas
0719-0107,,Ciências da Saúde
0719-0409,,Ciências Sociais Aplicadas
0719-0433,,Ciências Sociais Aplicadas
0719-0581,,Ciências Sociais Aplicadas
0719-0646,,Ciências Exatas e da Terra
0719-0700,,Ciências Sociais Aplicadas
0719-0948,,Ciências Sociais Aplicadas
0719-1243,,Ciências Humanas
0719-1529,,Ciências Sociais Aplicadas
0719-1790,,Ciências Sociais Aplicadas
0719-2584,,Ciências Sociais Aplicadas
0719-2681,,Ciências Humanas
0719-2681,,Ciências Sociais Aplicadas
0719-2789,,Ciências Sociais Aplicadas
0719-3262,,"Linguística, Letras e Artes"
0719-367X,,Ciências Sociais Aplicadas
0719-3696,,Ciências Humanas
0719-3696,,Ciências Sociais Aplicadas
0719-3769,,Ciências Sociais Aplicadas
0719-3890,,Ciências Agrárias
0719-4242,,Ciências Humanas
0719-4994,,Ciências Agrárias
0719-4994,,Ciências Humanas
0719-5176,,"Linguística, Letras e Artes"
0719-5389,,Ciências Humanas
0719-5532,,Ciências Humanas
0719-5605,,Ciências Sociais Aplicadas
0719-5699,,Ciências Humanas
0719-6466,,Ciências Sociais Aplicadas
0719-689X,,Ciências Humanas
0719-7721,,Ciências Sociais Aplicadas
0719-8132,,Ciências Agrárias
0797-3691,,Ciências Humanas
0797-5538,,Ciências Sociais Aplicadas
0798-0264,,Ciências da Saúde
0798-0469,,Ciências da Saúde
0798-0477,,Ciências Biológicas
0798-0477,,Ciências Exatas e da Terra
0798-0477,,Ciências da Saúde
0798-0477,,Engenharias
0798-0582,,Ciências da Saúde
0798-0752,,Ciências da Saúde
0798-1171,,Ciências Humanas
0798-2259,,Ciências Agrárias
0798-2259,,Ciências Biológicas
0798-2259,,Ciências Exatas e da Terra
0798-2259,,Ciências da Saúde
0798-2259,,Engenharias
0798-4065,,Engenharias
0798-4324,,Ciências Humanas
0798-7269,,Ciências Agrárias
0798-9709,,"Linguística, Letras e Artes"
0798-9709,,Ciências Humanas
0798-9784,,"Linguística, Letras e Artes"
0798-9792,,Ciências Humanas
0807-8967,,Ciências Humanas
0864-0289,,Ciências da Saúde
0864-0300,,Ciências da Saúde
0864-0319,,Ciências da Saúde
0864-0394,,Ciências Agrárias
0864-084X,,Engenharias
0864-2125,,Ciências da Saúde
0864-2141,,Ciências Humanas
0864-2141,,Ciências da Saúde
0870-1164,,Engenharias
0870-6352,,Ciências Agrárias
0870-7103,,Ciências da Saúde
0870-8231,,Ciências Humanas
0870-8231,,Ciências Sociais Aplicadas
0870-8312,,Engenharias
0870-9025,,Ciências da Saúde
0871-018X,,Ciências Agrárias
0871-3413,,Ciências da Saúde
0871-9187,,Ciências Humanas
0871-9187,,Ciências Sociais Aplicadas
0871-9721,,Ciências da Saúde
0872-0169,,Ciências da Saúde
0872-0754,,Ciências da Saúde
0872-1904,,Ciências Exatas e da Terra
0872-3419,,Ciências Sociais Aplicadas
0872-671X,,Ciências da Saúde
0872-8178,,Ciências da Saúde
0872-8380,,Ciências Sociais Aplicadas
0872-9662,,Ciências Sociais Aplicadas
0873-2159,,Ciências da Saúde
0873-3015,,Ciências Sociais Aplicadas
0873-6529,,Ciências Sociais Aplicadas
0873-6561,,Ciências Humanas
0873-6561,,Ciências Sociais Aplicadas
0873-7444,,Ciências Sociais Aplicadas
0874-0283,,Ciências da Saúde
0874-1336,,Ciências Humanas
0874-2049,,Ciências Humanas
0874-2049,,Ciências Sociais Aplicadas
0874-4890,,Ciências da Saúde
0874-5161,,Ciências Exatas e da Terra
0874-5560,,Ciências Humanas
0874-5560,,Ciências Sociais Aplicadas
0874-6885,,Ciências Humanas
0874-6885,,Ciências Sociais Aplicadas
1010-2914,,Ciências Humanas
1010-9919,,Ciências Humanas
1011-2251,,Ciências Humanas
1011-7601,,Ciências Humanas
1012-1587,,"Linguística, Letras e Artes"
1012-1587,,Ciências Humanas
1012-1587,,Ciências Sociais Aplicadas
1012-2508,,Ciências Humanas
1012-2508,,Ciências Sociais Aplicadas
1012-2966,,Ciências da Saúde
1015-5163,,Ciências da Saúde
1015-6046,,Ciências Humanas
1015-8758,,Ciências Humanas
1016-913X,,Ciências Humanas
1017-0499,,Ciências Humanas
1017-8546,,Ciências da Saúde
1018-130X,,Ciências da Saúde
1019-4355,,Ciências da Saúde
1019-9128,,Ciências Agrárias
1019-9128,,Ciências Biológicas
1019-9403,,Ciências Humanas
1021-1497,,"Linguística, Letras e Artes"
1021-2019,,Engenharias
1021-447X,,Ciências Exatas e da Terra
1021-545X,,Ciências Humanas
1022-5129,,Ciências da Saúde
1024-0675,,Ciências da Saúde
1024-9435,,Ciências Sociais Aplicadas
1024-9435,,Ciências da Saúde
1025-0255,,Ciências da Saúde
1025-5583,,Ciências da Saúde
1025-9945,,Ciências Humanas
1025-9945,,Ciências Sociais Aplicadas
1026-8774,,Ciências Exatas e da Terra
1027-152X,,Ciências Agrárias
1027-2852,,Ciências Biológicas
1027-2852,,Ciências Exatas e da Terra
1027-2852,,Engenharias
1028-4818,,Ciências Humanas
1028-4818,,Ciências da Saúde
1029-3019,,Ciências da Saúde
1029-3043,,Ciências da Saúde
1130-0108,,Ciências da Saúde
1130-0558,,Ciências da Saúde
1130-1473,,Ciências da Saúde
1130-5274,,Ciências da Saúde
1130-6343,,Ciências da Saúde
1131-5768,,Ciências da Saúde
1132-0559,,Ciências da Saúde
1132-1296,,Ciências da Saúde
1132-6255,,Ciências da Saúde
1134-8046,,Ciências da Saúde
1134-928X,,Ciências da Saúde
1135-5727,,Ciências da Saúde
1135-7606,,Ciências da Saúde
1137-6627,,Ciências da Saúde
1138-123X,,Ciências da Saúde
1139-1375,,Ciências da Saúde
1139-6709,,Ciências da Saúde
1139-7632,,Ciências da Saúde
1315-0138,,Ciências Humanas
1315-0138,,Ciências da Saúde
1315-0162,,"Linguística, Letras e Artes"
1315-0162,,Ciências Agrárias
1315-0162,,Ciências Biológicas
1315-0162,,Ciências Exatas e da Terra
1315-0162,,Ciências Humanas
1315-0162,,Ciências Sociais Aplicadas
1315-0162,,Ciências da Saúde
1315-0162,,Engenharias
1315-2556,,Ciências Biológicas
1315-5216,,Ciências Humanas
1315-6268,,Ciências Humanas
1315-6411,,Ciências Sociais Aplicadas
1315-8597,,Ciências Humanas
1315-9496,,Ciências Exatas e da Terra
1315-9496,,Ciências Humanas
1315-9518,,Ciências Humanas
1315-9518,,Ciências Sociais Aplicadas
1315-9984,,Ciências Humanas
1315-9984,,Ciências Sociais Aplicadas
1316-0087,,Ciências Humanas
1316-0354,,Ciências Agrárias
1316-3361,,Ciências Agrárias
1316-3701,,Ciências Humanas
1316-3701,,Ciências Sociais Aplicadas
1316-4821,,Engenharias
1316-4910,,Ciências Humanas
1316-7138,,Ciências Sociais Aplicadas
1316-7138,,Ciências da Saúde
1317-5815,,Ciências Humanas
1317-5815,,Ciências Sociais Aplicadas
1405-0099,,Ciências da Saúde
1405-0218,,Ciências Sociais Aplicadas
1405-0471,,Ciências Agrárias
1405-0927,,Ciências Humanas
1405-0927,,Ciências Sociais Aplicadas
1405-1079,,Ciências Sociais Aplicadas
1405-1435,,Ciências Sociais Aplicadas
1405-2253,,Ciências Humanas
1405-2768,,Ciências Biológicas
1405-3195,,Ciências Agrárias
1405-3322,,Ciências Exatas e da Terra
1405-3586,,Ciências Agrárias
1405-5546,,Ciências Exatas e da Terra
1405-5546,,Engenharias
1405-6666,,Ciências Humanas
1405-7425,,Ciências Sociais Aplicadas
1405-7743,,Engenharias
1405-8421,,Ciências Sociais Aplicadas
1405-888X,,Ciências Biológicas
1405-9193,,Ciências Humanas
1405-9436,,Ciências Humanas
1405-9940,,Ciências da Saúde
1409-0015,,Ciências da Saúde
1409-0090,,Ciências da Saúde
1409-1259,,Ciências da Saúde
1409-1429,,Ciências da Saúde
1409-2433,,Ciências Exatas e da Terra
1409-3871,,Ciências Biológicas
1409-4142,,Ciências da Saúde
1409-4185,,Ciências da Saúde
1409-4258,,Ciências Sociais Aplicadas
1409-4568,,Ciências da Saúde
1409-469X,,Ciências Humanas
1409-469X,,Ciências Sociais Aplicadas
1409-4703,,Ciências Humanas
1409-4703,,Ciências Sociais Aplicadas
1413-2311,,Ciências Sociais Aplicadas
1413-2478,,Ciências Humanas
1413-294X,,Ciências Humanas
1413-3555,,Ciências da Saúde
1413-4152,,Engenharias
1413-6538,,Ciências Humanas
1413-7054,,Ciências Agrárias
1413-7372,,Ciências Humanas
1413-7704,,Ciências Humanas
1413-7739,,Ciências Biológicas
1413-7739,,Ciências Exatas e da Terra
1413-7852,,Ciências da Saúde
1413-8050,,Ciências Sociais Aplicadas
1413-8123,,Ciências da Saúde
1413-8271,,Ciências Humanas
1413-8557,,Ciências Humanas
1413-8670,,Ciências Biológicas
1413-8670,,Ciências da Saúde
1413-9251,,Ciências Sociais Aplicadas
1413-9596,,Ciências Agrárias
1413-9936,,Ciências Sociais Aplicadas
1414-3283,,Ciências Humanas
1414-3283,,Ciências da Saúde
1414-4077,,Ciências Humanas
1414-462X,,Ciências da Saúde
1414-4980,,Ciências Sociais Aplicadas
1414-753X,,Ciências Biológicas
1414-753X,,Ciências Humanas
1414-753X,,Ciências Sociais Aplicadas
1414-8145,,Ciências da Saúde
1414-9893,,Ciências Humanas
1415-4366,,Ciências Agrárias
1415-4714,,Ciências Humanas
1415-4757,,Ciências Biológicas
1415-5273,,Ciências da Saúde
1415-5419,,Ciências da Saúde
1415-6555,,Ciências Sociais Aplicadas
1415-790X,,Ciências da Saúde
1415-9848,,Ciências Sociais Aplicadas
1445-7377,,Ciências Humanas
1510-3846,,Ciências Humanas
1510-3846,,Ciências Sociais Aplicadas
1514-6871,,Ciências Sociais Aplicadas
1514-7991,,Ciências Biológicas
1515-5994,,Ciências Humanas
1515-5994,,Ciências Sociais Aplicadas
1515-9485,,Ciências Humanas
1516-0572,,Ciências Agrárias
1516-0572,,Ciências Biológicas
1516-1439,,Engenharias
1516-1498,,Ciências Humanas
1516-1846,,Ciências da Saúde
1516-3180,,Ciências da Saúde
1516-3598,,Ciências Agrárias
1516-4446,,Ciências da Saúde
1516-635X,,Ciências Agrárias
1516-7313,,Ciências Humanas
1516-8034,,Ciências da Saúde
1516-8484,,Ciências da Saúde
1516-8913,,Ciências Agrárias
1516-8913,,Ciências Biológicas
1516-8913,,Ciências da Saúde
1516-8913,,Engenharias
1516-9332,,Ciências da Saúde
1517-106X,,"Linguística, Letras e Artes"
1517-3151,,Engenharias
1517-4522,,Ciências Humanas
1517-7076,,Engenharias
1517-7491,,Ciências da Saúde
1517-7599,,"Linguística, Letras e Artes"
1517-8382,,Ciências Biológicas
1517-8692,,Ciências da Saúde
1517-9702,,Ciências Humanas
1518-7012,,Ciências Humanas
1518-7012,,Ciências Sociais Aplicadas
1518-7632,,"Linguística, Letras e Artes"
1519-3829,,Ciências da Saúde
1519-566X,,Ciências Biológicas
1519-6089,,Ciências Humanas
1519-6984,,Ciências Biológicas
1519-7077,,Ciências Sociais Aplicadas
1519-9940,,Ciências Agrárias
1560-4381,,Ciências da Saúde
1560-683X,,"Linguística, Letras e Artes"
1561-2953,,Ciências da Saúde
1561-3003,,Ciências da Saúde
1561-4018,,Ciências Humanas
1562-3009,,Ciências Agrárias
1562-3823,,Ciências Exatas e da Terra
1562-4730,,Ciências Humanas
1562-8264,,Ciências da Saúde
1575-0620,,Ciências da Saúde
1575-1813,,Ciências da Saúde
1576-5962,,Ciências da Saúde
1578-2549,,Ciências da Saúde
1578-8423,,Ciências da Saúde
1578-908X,,Ciências da Saúde
1579-699X,,Ciências da Saúde
1605-2528,,Ciências Biológicas
1607-050X,,Ciências Humanas
1607-050X,,Ciências Sociais Aplicadas
1607-4041,,Ciências Humanas
1608-8921,,Ciências da Saúde
1609-9117,,Ciências da Saúde
1645-0086,,Ciências Humanas
1645-0086,,Ciências Sociais Aplicadas
1645-0086,,Ciências da Saúde
1645-0523,,Ciências Humanas
1645-0523,,Ciências da Saúde
1645-3794,,Ciências Humanas
1645-3794,,Ciências Sociais Aplicadas
1645-4464,,Ciências Sociais Aplicadas
1645-6432,,Ciências Humanas
1645-6432,,Ciências Sociais Aplicadas
1645-7250,,Ciências Humanas
1645-9199,,Ciências Humanas
1645-9199,,Ciências Sociais Aplicadas
1645-9911,,Ciências Humanas
1646-107X,,Ciências da Saúde
1646-2122,,Ciências da Saúde
1646-2408,,Ciências Sociais Aplicadas
1646-2890,,Ciências da Saúde
1646-5237,,Ciências Sociais Aplicadas
1646-5830,,Ciências da Saúde
1646-5954,,Ciências Sociais Aplicadas
1646-6004,,Ciências Humanas
1646-706X,,Ciências da Saúde
1646-740X,,Ciências Humanas
1646-8872,,Ciências Exatas e da Terra
1646-9895,,Engenharias
1647-2160,,Ciências da Saúde
1647-581X,,Ciências Exatas e da Terra
1647-6158,,"Linguística, Letras e Artes"
1652-6776,,Ciências Biológicas
1652-6776,,Ciências da Saúde
1657-0308,,Ciências Humanas
1657-0790,,Ciências Humanas
1657-4206,,Ciências Sociais Aplicadas
1657-4214,,Ciências Sociais Aplicadas
1657-4702,,Ciências Biológicas
1657-4702,,Ciências Humanas
1657-4702,,Ciências Sociais Aplicadas
1657-4702,,Ciências da Saúde
1657-5997,,Ciências da Saúde
1657-6276,,Ciências Sociais Aplicadas
1657-6357,,Ciências Sociais Aplicadas
1657-7027,,Ciências Humanas
1657-7027,,Ciências Sociais Aplicadas
1657-8031,,Ciências Humanas
1657-8953,,Ciências Humanas
1657-8953,,Ciências Sociais Aplicadas
1657-8961,,Ciências Sociais Aplicadas
1657-9267,,Ciências Humanas
1657-9534,,Ciências da Saúde
1657-9550,,Ciências Biológicas
1657-9550,,Ciências da Saúde
1657-9763,,Ciências Sociais Aplicadas
1659-0201,,Ciências Humanas
1659-0201,,Ciências da Saúde
1659-0775,,Ciências da Saúde
1659-097X,,Ciências da Saúde
1659-1321,,Ciências Agrárias
1659-2859,,"Linguística, Letras e Artes"
1659-2859,,Ciências Humanas
1659-2859,,Ciências Sociais Aplicadas
1659-2913,,Ciências Humanas
1659-2913,,Ciências da Saúde
1659-3359,,Engenharias
1659-3820,,"Linguística, Letras e Artes"
1659-3820,,Ciências Humanas
1659-3820,,Ciências Sociais Aplicadas
1659-4142,,Ciências da Saúde
1659-4223,,"Linguística, Letras e Artes"
1659-4223,,Ciências Humanas
1659-4266,,Ciências Biológicas
1659-4266,,Ciências Exatas e da Terra
1659-4266,,Ciências Sociais Aplicadas
1659-4266,,Engenharias
1659-4436,,Ciências da Saúde
1659-4940,,"Linguística, Letras e Artes"
1665-0565,,Ciências Sociais Aplicadas
1665-109X,,Ciências Humanas
1665-1146,,Ciências da Saúde
1665-1200,,Ciências Humanas
1665-1324,,Ciências Humanas
1665-1456,,Ciências Agrárias
1665-1456,,Ciências Biológicas
1665-1456,,Engenharias
1665-1995,,Ciências da Saúde
1665-2037,,Ciências Sociais Aplicadas
1665-2045,,Ciências Sociais Aplicadas
1665-2436,,Ciências Humanas
1665-2436,,Ciências Sociais Aplicadas
1665-2673,,Ciências Humanas
1665-2681,,Ciências da Saúde
1665-2738,,Engenharias
1665-3521,,Ciências Exatas e da Terra
1665-4420,,Ciências Humanas
1665-5044,,Ciências da Saúde
1665-5346,,Ciências Sociais Aplicadas
1665-5826,,Ciências Humanas
1665-6180,,Ciências Sociais Aplicadas
1665-6423,,Engenharias
1665-7063,,Ciências da Saúde
1665-7381,,Engenharias
1665-7527,,Ciências Sociais Aplicadas
1665-8027,,Ciências Humanas
1665-8027,,Ciências Sociais Aplicadas
1665-8574,,Ciências Humanas
1665-8906,,Ciências Humanas
1665-8906,,Ciências Sociais Aplicadas
1665-899X,,Ciências Humanas
1665-899X,,Ciências Sociais Aplicadas
1665-952X,,Ciências Sociais Aplicadas
1666-485X,,Ciências Humanas
1666-7719,,Ciências Agrárias
1666-9479,,Ciências Exatas e da Terra
1667-782X,,Ciências Biológicas
1667-8990,,Ciências da Saúde
1668-298X,,Ciências Agrárias
1668-3498,,Ciências Biológicas
1668-5628,,Ciências Sociais Aplicadas
1668-7027,,Ciências Humanas
1668-8090,,Ciências Humanas
1668-8104,,Ciências Humanas
1668-8104,,Ciências Sociais Aplicadas
1668-8708,,Ciências Sociais Aplicadas
1669-2314,,Ciências Agrárias
1669-2721,,Ciências Humanas
1669-2721,,Ciências Sociais Aplicadas
1669-3248,,Ciências Humanas
1669-5704,,Ciências Humanas
1669-6840,,Ciências Agrárias
1669-6840,,Engenharias
1669-9041,,Ciências Humanas
1676-0603,,Ciências Biológicas
1676-2444,,Ciências da Saúde
1676-2649,,Ciências da Saúde
1676-5648,,Ciências Sociais Aplicadas
1677-0420,,Ciências Biológicas
1677-3225,,Ciências da Saúde
1677-5449,,Ciências da Saúde
1677-5538,,Ciências da Saúde
1678-3166,,Ciências Humanas
1678-5320,,"Linguística, Letras e Artes"
1678-5878,,Ciências Exatas e da Terra
1678-5878,,Engenharias
1678-6971,,Ciências Sociais Aplicadas
1678-7757,,Ciências da Saúde
1678-8621,,Engenharias
1678-9199,,Ciências Agrárias
1678-9199,,Ciências Biológicas
1678-9199,,Ciências da Saúde
1679-3951,,Ciências Sociais Aplicadas
1679-4508,,Ciências da Saúde
1679-6225,,Ciências Biológicas
1679-7825,,Engenharias
1679-8759,,Ciências Exatas e da Terra
1680-0338,,Engenharias
1681-150X,,Ciências Biológicas
1681-150X,,Ciências da Saúde
1682-0037,,Ciências da Saúde
1682-5853,,Ciências Sociais Aplicadas
1683-0789,,Ciências Exatas e da Terra
1683-9803,,Ciências da Saúde
1684-0933,,Ciências Sociais Aplicadas
1684-1859,,Ciências da Saúde
1684-1999,,Ciências Sociais Aplicadas
1688-0390,,Ciências da Saúde
1688-0420,,Ciências da Saúde
1688-1249,,Ciências da Saúde
1688-1273,,Ciências da Saúde
1688-4221,,Ciências Humanas
1688-4221,,Ciências Sociais Aplicadas
1688-423X,,Ciências da Saúde
1688-4809,,Ciências da Saúde
1688-499X,,Ciências Humanas
1688-499X,,Ciências Sociais Aplicadas
1688-7026,,Ciências Sociais Aplicadas
1688-7026,,Ciências da Saúde
1688-7468,,Ciências Humanas
1688-7468,,Ciências Sociais Aplicadas
1688-8626,,Ciências Humanas
1688-9304,,Ciências Humanas
1688-9304,,Ciências Sociais Aplicadas
1688-9339,,Ciências da Saúde
1690-3110,,Ciências da Saúde
1690-3293,,Ciências da Saúde
1690-4648,,Ciências Biológicas
1690-4648,,Ciências da Saúde
1690-4648,,Engenharias
1690-7515,,Ciências Sociais Aplicadas
1692-0279,,Ciências Sociais Aplicadas
1692-1798,,Ciências Exatas e da Terra
1692-1798,,Engenharias
1692-2522,,Ciências Sociais Aplicadas
1692-2530,,Ciências Sociais Aplicadas
1692-3324,,Engenharias
1692-3561,,Ciências Agrárias
1692-3561,,Ciências Biológicas
1692-3561,,Ciências Exatas e da Terra
1692-3561,,Engenharias
1692-5858,,Ciências Sociais Aplicadas
1692-715X,,"Linguística, Letras e Artes"
1692-715X,,Ciências Biológicas
1692-715X,,Ciências Humanas
1692-7273,,Ciências da Saúde
1692-8156,,Ciências Sociais Aplicadas
1692-8261,,Ciências Sociais Aplicadas
1692-8563,,Ciências Sociais Aplicadas
1692-8571,,Ciências Sociais Aplicadas
1692-8857,,Ciências Humanas
1695-6141,,Ciências da Saúde
1698-4447,,Ciências da Saúde
1698-6946,,Ciências da Saúde
1699-6011,,Ciências da Saúde
1699-6585,,Ciências da Saúde
1699-695X,,Ciências da Saúde
1699-714X,,Ciências da Saúde
1726-2216,,Ciências Biológicas
1726-4634,,Ciências da Saúde
1726-569X,,Ciências Biológicas
1726-569X,,Ciências Sociais Aplicadas
1726-569X,,Ciências da Saúde
1726-6718,,Ciências da Saúde
1726-8958,,Ciências da Saúde
1727-3781,,Ciências Humanas
1727-558X,,Ciências da Saúde
1727-8120,,Ciências Humanas
1727-8120,,Ciências da Saúde
1727-897X,,Ciências da Saúde
1727-9933,,Ciências Biológicas
1727-9933,,Ciências da Saúde
1728-5917,,Ciências da Saúde
1729-4827,,Ciências Humanas
1729-8091,,Ciências Sociais Aplicadas
1753-5913,,Ciências Humanas
1753-5913,,Ciências Sociais Aplicadas
1794-1237,,Engenharias
1794-192X,,Ciências Humanas
1794-192X,,Ciências Sociais Aplicadas
1794-2470,,Ciências da Saúde
1794-2489,,Ciências Humanas
1794-3108,,Ciências Sociais Aplicadas
1794-3841,,Ciências Sociais Aplicadas
1794-4449,,"Linguística, Letras e Artes"
1794-4449,,Ciências Agrárias
1794-4449,,Ciências Biológicas
1794-4449,,Ciências Exatas e da Terra
1794-4449,,Ciências Humanas
1794-4449,,Ciências da Saúde
1794-4449,,Engenharias
1794-4724,,Ciências Humanas
1794-5887,,"Linguística, Letras e Artes"
1794-5887,,Ciências Humanas
1794-6190,,Ciências Exatas e da Terra
1794-8347,,Ciências Sociais Aplicadas
1794-8886,,Ciências Humanas
1794-8932,,Ciências Sociais Aplicadas
1794-9165,,Engenharias
1794-9998,,Ciências Humanas
1806-0013,,Ciências da Saúde
1806-1117,,Ciências Humanas
1806-3713,,Ciências da Saúde
1806-4892,,Ciências Sociais Aplicadas
1806-6445,,Ciências Humanas
1806-6445,,Ciências Sociais Aplicadas
1806-6690,,Ciências Agrárias
1806-8324,,Ciências da Saúde
1807-0302,,Ciências Exatas e da Terra
1807-1775,,Ciências Sociais Aplicadas
1807-2577,,Ciências da Saúde
1807-5509,,Ciências da Saúde
1807-5932,,Ciências da Saúde
1807-7692,,Ciências Sociais Aplicadas
1807-8621,,Ciências Agrárias
1807-8672,,Ciências Agrárias
1808-1657,,Ciências Agrárias
1808-1851,,Ciências da Saúde
1808-2386,,Ciências Sociais Aplicadas
1808-2432,,Ciências Sociais Aplicadas
1808-8694,,Ciências da Saúde
1809-2950,,Ciências da Saúde
1809-4341,,Ciências Humanas
1809-4864,,Ciências da Saúde
1809-4872,,Ciências da Saúde
1809-5844,,Ciências Sociais Aplicadas
1809-6891,,Ciências Agrárias
1809-9823,,Ciências Humanas
1809-9823,,Ciências da Saúde
1810-634X,,Ciências Exatas e da Terra
1812-9528,,Ciências da Saúde
1815-0276,,Ciências Sociais Aplicadas
1815-5898,,Ciências Sociais Aplicadas
1815-5898,,Engenharias
1815-5901,,Engenharias
1815-5928,,Engenharias
1815-5936,,Engenharias
1815-5944,,Engenharias
1815-7696,,Ciências Biológicas
1815-7696,,Ciências Exatas e da Terra
1815-7696,,Ciências Humanas
1815-7696,,Ciências Sociais Aplicadas
1816-7950,,Ciências Agrárias
1816-7950,,Ciências Biológicas
1816-7950,,Ciências Exatas e da Terra
1816-7950,,Ciências Humanas
1816-7950,,Engenharias
1816-8949,,Ciências da Saúde
1817-7433,,Ciências da Saúde
1850-0013,,Ciências Humanas
1850-1168,,Ciências Exatas e da Terra
1850-1532,,Ciências da Saúde
1850-2067,,Ciências Agrárias
1850-275X,,Ciências Humanas
1850-373X,,Ciências Humanas
1850-3748,,Ciências da Saúde
1850-468X,,Ciências Exatas e da Terra
1850-6666,,Ciências Humanas
1850-9959,,Ciências Sociais Aplicadas
1851-0027,,Ciências Humanas
1851-1686,,Ciências Humanas
1851-1694,,Ciências Sociais Aplicadas
1851-1716,,Ciências Humanas
1851-1724,,"Linguística, Letras e Artes"
1851-1724,,Ciências Humanas
1851-1732,,Ciências Sociais Aplicadas
1851-1740,,Ciências Sociais Aplicadas
1851-2372,,Ciências Biológicas
1851-2879,,Ciências Humanas
1851-300X,,Ciências da Saúde
1851-3018,,Ciências Agrárias
1851-3026,,Ciências Agrárias
